scenario,search_stage,glucose,ammonium,phosphate,sulfate,temperature,pH,mixing,growth,biomass_flux_mean,biomass_yield,byproduct_total,log_volume,overall_rank_score
12,explore,20.0,8.0,4.0,3.0,32.0,6.5,high,2.7613152684148323,0.7095039753412375,0.1380657634207416,11.380730938059068,-42297.02874856755,0.5055874330626934
19,explore,20.0,5.0,3.0,2.0,33.0,6.4,high,2.7613152684148323,0.7101648668513113,0.1380657634207416,11.474344000776735,-42248.49673221712,0.5017861781942743
5,explore,20.0,2.0,1.0,1.0,28.0,5.8,high,2.7613152684148363,0.7126918319406116,0.1380657634207418,11.542524374887655,-42293.468390352966,0.5000000000000001
14,explore,18.0,3.0,1.0,1.0,31.0,6.4,low,2.485183741573353,0.6490660892619549,0.1380657634207418,10.679104114939298,-42317.40296010581,0.454099419657177
6,explore,18.0,3.0,2.0,1.5,31.0,6.4,low,2.4851837415733526,0.6438447131627909,0.1380657634207418,10.653299017795208,-42347.43377891378,0.452727322718481
22,explore,16.0,3.0,2.0,1.5,32.0,6.3,low,2.2090522147318685,0.5788725786469038,0.1380657634207417,9.778582346641391,-42377.30641961802,0.4066771742251625
4,explore,15.0,8.0,4.0,3.0,32.0,6.5,high,2.070986451311128,0.5479234697962636,0.1380657634207418,9.254440207352737,-42450.90955646309,0.3882083512374913
17,explore,15.0,4.0,2.0,2.0,32.0,6.1,medium,2.070986451311128,0.5473758544134144,0.1380657634207418,9.276826471110626,-42416.75013600997,0.3869604603471352
7,explore,15.0,2.0,4.0,3.0,33.0,6.3,high,2.070986451311128,0.5475436429659769,0.1380657634207418,9.316260076145324,-42417.72385857717,0.3853061027726673
21,explore,14.0,7.0,3.0,2.5,31.0,6.2,medium,1.9329206878903853,0.5148279370973139,0.1380657634207418,8.782665517371925,-42477.35697393082,0.3664047904795515
15,explore,12.0,2.0,2.0,1.5,29.0,5.8,medium,1.656789161048902,0.444125944053821,0.1380657634207418,7.776162209022587,-42552.32554730588,0.3234011578002719
8,explore,12.0,6.0,3.0,2.5,29.0,5.7,medium,1.656789161048902,0.4452105907331359,0.1380657634207418,7.790366664342099,-42554.12831259318,0.3232970865946875
3,explore,12.0,6.0,3.0,2.5,31.0,6.2,high,1.656789161048902,0.4437717542299694,0.1380657634207418,7.782483414868882,-42561.890924551706,0.3229529578061602
2,explore,10.0,4.0,2.0,2.0,30.0,6.0,medium,1.380657634207419,0.3747109211193415,0.1380657634207419,6.668445076929904,-42648.5300022884,0.2854685939751216
16,explore,10.0,6.0,4.0,3.0,30.0,6.3,high,1.3806576342074186,0.3742322230249003,0.1380657634207418,6.668721614491341,-42670.308247773566,0.2852265453784238
9,explore,10.0,4.0,2.0,2.0,30.0,6.0,medium,1.380657634207419,0.3756617451628774,0.1380657634207419,6.719804123867216,-42649.14720682279,0.2836655926913258
23,explore,9.0,8.0,4.0,3.0,29.0,6.0,high,1.2425918707866768,0.3391320916212659,0.1380657634207418,6.112889927724272,-42728.75613451828,0.2661585282908403
10,explore,8.0,8.0,1.0,1.0,27.0,5.6,medium,1.1045261073659347,0.3021643119154261,0.1380657634207418,5.496782765595674,-42753.43833484493,0.2488455221951142
18,explore,8.0,3.0,3.0,2.5,27.0,5.6,medium,1.1045261073659347,0.3029121789426731,0.1380657634207418,5.523947522310494,-42828.545762514055,0.2480095159867636
13,explore,7.0,5.0,3.0,2.5,28.0,5.7,low,0.966460343945193,0.2663642306774792,0.1380657634207418,4.905895306458167,-42823.13089756143,0.2309836979235878
1,explore,7.0,3.0,2.0,1.5,29.0,5.7,medium,0.966460343945193,0.2660840036621505,0.1380657634207418,4.939831073548347,-42860.39795151736,0.2293560774931551
20,explore,6.0,2.0,1.0,1.0,28.0,5.5,low,0.8283945805244508,0.22921511422716,0.1380657634207418,4.26970523522561,-42944.59596512226,0.2144671838178237
11,explore,5.0,8.0,4.0,3.0,30.0,6.2,low,0.6903288171037091,0.1921006429770051,0.1380657634207418,3.5873137358772724,-43063.99224721442,0.2
0,explore,5.0,2.0,1.0,1.0,28.0,5.5,low,0.6903288171037091,0.1921638468868,0.1380657634207418,3.598665069507891,-43061.74210225394,0.1995309350709509
